PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
AK-P-2884,NONAPPROPRIATED FUND FIN. MGT. BRANCH CONS. WAREHOUSE,Â ,BUILDING 21883 ELM STREET,ELMENDORF AFB,AK,99506,0,SOUTHEAST FAIRBANKS
AK-P-2893,"SPECIALTY IMPORTS, INC.",Â ,4119 INGRA ST,ANCHORAGE,AK,99503,6117,ANCHORAGE
AK-P-2902,MWR CONSOLIDATED WAREHOUSE,Â ,BLDG 21-883C,ELMENDORF AFB,AK,99506,0,SOUTHEAST FAIRBANKS
AK-P-2905,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-P-2907,WILLIAM F. ST. PIERRE,Q COMPANY,3650 BRADDOCK ST,FAIRBANKS,AK,99701,7617,FAIRBANKS NORTH STAR
AK-P-2910,ROMAN BRATSLAVSKY,R.T. ENTERPRISES,15300 OLD SEWARD HWY,ANCHORAGE,AK,99516,3954,ANCHORAGE
AK-P-2911,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-P-2912,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-P-2913,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,1759 ANKA ST,JUNEAU,AK,99801,9504,JUNEAU
AK-P-2914,JOSEF KOPECKY,J.K. GLOBAL ENTERPRISES,3601 C ST,ANCHORAGE,AK,99503,5952,ANCHORAGE
AK-P-2915,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-P-2916,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,8420 AIRPORT BLVD,JUNEAU,AK,99801,8064,JUNEAU
AK-P-2917,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-P-2920,TURNAGAIN VINES LLC,TURNAGAIN VINES,511 W 41ST AVE,ANCHORAGE,AK,99503,6643,ANCHORAGE
AL-P-1067,"BIRMINGHAM BEVERAGE COMPANY, INC.",Â ,211 CITATION CT,BIRMINGHAM,AL,35209,6318,JEFFERSON
AL-P-1366,"SUPREME BEVERAGE COMPANY, INC.",Â ,3217 MESSER AIRPORT HWY,BIRMINGHAM,AL,35222,1259,JEFFERSON
AL-P-15001,"TONEY ENTERPRISES, INC.",THE WINE SOURCE,10097 BROSE DR,VANCE,AL,35490,2923,TUSCALOOSA
AL-P-15005,PASSPORT CAFE LLC,PASSPORT CAFE,336 OLD OAK COVE,CHELSEA,AL,35043,3052,SHELBY
AL-P-15006,"JOHNNYGREENSEEDS WINES, INC.",Â ,612 22ND ST S,BIRMINGHAM,AL,35233,3112,JEFFERSON
AL-P-15008,INGENIUM WINES LLC,INGENIUM WINES,917 D WILLOWBROOK DR,HUNTSVILLE,AL,35802,3263,MADISON
AL-P-15011,VOLONTE WINES,Â ,13636 HWY 84,EVERGREEN,AL,36401,6408,CONECUH
AL-P-15013,FRANCIS NJENGA KAMITI & ALEXANDER MAREALLE,WATETU,3737 GOVERNMENT BLVD,MOBILE,AL,36693,4308,MOBILE
AL-P-15014,"GOOD PEOPLE, LLC",GOOD PEOPLE BREWING COMPANY,841  SYLVIA DR,HOMEWOOD,AL,35209,6628,JEFFERSON
AL-P-15015,"VINOFRIO, L.L.C.",Â ,2301 PERIMETER RD,MOBILE,AL,36615,1135,MOBILE
AL-P-15016,"BROOKLEY INTERNATIONAL DISTRIBUTING, L.L.C.",BROOKLEY INTERNATIONAL WINES,23803  COUNTY ROAD 64,ROBERTSDALE,AL,36567,0,BALDWIN
AL-P-15017,"UNIQCO, INC.",MOA USA,3425 LOOKOUT DR,HUNTSVILLE,AL,35801,1020,MADISON
AL-P-15018,"JAY MILLS, INC.",JAYS,1716 BEAR FORK RD,EIGHT MILE,AL,36613,1104,MOBILE
AL-P-15019,"ALLSTATE BEVERAGE COMPANY, LLC",Â ,318 SOUTH 3 NOTCH ST,TROY,AL,36081,0,PIKE
AL-P-15020,"ALLSTATE BEVERAGE COMPANY, LLC",Â ,2414 HIGHWAY 43 S,DEMOPOLIS,AL,36732,4251,MARENGO
AL-P-15021,"ALLSTATE BEVERAGE COMPANY, LLC",Â ,130 SIXTH ST,MONTGOMERY,AL,36104,1633,MONTGOMERY
AL-P-15022,"CITY WHOLESALE, INC.",CITY BEVERAGE,300 INDUSTRIAL DR,BIRMINGHAM,AL,35211,4443,JEFFERSON
AL-P-15025,"BACK FORTY BEER COMPANY, LLC",Â ,76 SHADES CREST RD,BIRMINGHAM,AL,35226,1014,JEFFERSON
AL-P-15026,"ALLSTATE BEVERAGE COMPANY, LLC",Â ,127 WOODBURN DR,DOTHAN,AL,36305,1050,HOUSTON
AL-P-15028,"JAMES STEVENS INTERNATIONAL, LLC",JAMES STEVENS BEER CO.,108 PORCH LIGHT PL,MADISON,AL,35756,6423,LIMESTONE
AL-P-15029,"STELLAR BEVERAGE COMPANY, LLC",Â ,9310 MADISON BLVD,MADISON,AL,35758,9151,MADISON
AL-P-15030,"LA EL TORO, LLC",LA EL TORO WINES,302 HARTSIDE ROAD SE,OWENS CROSS ROADS,AL,35763,9594,MADISON
AL-P-15032,LEE INVESTMENT CONSULTANTS LLC,Â ,5296 OLD US  HWY 278 E,HOKES BLUFF,AL,35903,0,ETOWAH
AL-P-15033,"HIGHER GROUND ENERGY SOLUTIONS, INC.",SAVASSI CACHACA USA,120 N COURT  ST,FLORENCE,AL,35630,4766,LAUDERDALE
AL-P-15034,"MCLANE BEVERAGE DISTRIBUTION, INC.",Â ,100 MCLANE PKWY,COTTONWOOD,AL,36320,5076,HOUSTON
AL-P-15035,"BEAR VENTURES, LLC",GLOBAL WINES AL,1236 AUGUSTA AVE,MONTGOMERY,AL,36111,1408,MONTGOMERY
AL-P-15036,"OLD BLACK BEAR BREWING COMPANY, LLC",OLD BLACK BEAR,201 EASTSIDE SQ,HUNTSVILLE,AL,35801,4802,MADISON
AL-P-15038,"CHALICE IMPORTS, INC.",CHALICE WHOLESALE WINES,402 CELTIC DR,MADISON,AL,35758,2629,MADISON
AL-P-15039,"OSM IMPORTING, L.L.C.",OSM IMPORTING,169 DAUPHIN ST,MOBILE,AL,36602,3271,MOBILE
AL-P-15040,CLAIR FRANKEL,GREENBERRY WINES,105 LEXINGTON DR,ATHENS,AL,35613,2727,LIMESTONE
AL-P-1550,"GULF DISTRIBUTING CO. OF MOBILE, L.L.C.",Â ,3378 MOFFETT RD,MOBILE,AL,36607,1708,MOBILE
AL-P-1594,"ADAMS BEVERAGES, INC.",Â ,3116 JOHN D ODOM RD,DOTHAN,AL,36303,936,HOUSTON
AL-P-1619,"BAMA BUDWEISER OF ANNISTON, INC.",Â ,1609 AKERS RD,ANNISTON,AL,36201,0,CALHOUN
AL-P-1632,FORT MCCLELLAN PACKAGE BEVERAGE STORE,Â ,6TH ST,FORT MCCLELLAN,AL,36205,0,CALHOUN
AL-P-1662,"HORN BEVERAGE CO., INC.",Â ,139 COLLEGE ST,BRUNDIDGE,AL,36010,1404,PIKE
AL-P-1668,"SUPREME BEVERAGE COMPANY, INC.",Â ,9100 US HIGHWAY 431,ALEXANDRIA,AL,36250,5011,CALHOUN
AL-P-1672,"KLOMAR SHIP SUPPLY CO., INC.",Â ,2200 PERIMETER RD,MOBILE,AL,36615,1131,MOBILE
AL-P-1675,"SUPREME BEVERAGE COMPANY, INC.",Â ,2601 27TH ST,TUSCALOSA,AL,35401,0,TUSCALOOSA
AL-P-1677,"INTERNATIONAL WINES, INC.",Â ,301 SNOW DR,BIRMINGHAM,AL,35209,6340,JEFFERSON
AL-P-1698,"TURNER BEVERAGE CO., INC.",Â ,1935 MAX LUTHER DR NW,HUNTSVILLE,AL,35811,1617,MADISON
AL-P-1700,"BIRMINGHAM BEVERAGE COMPANY, INC.",SOUTHERN DISTRIBUTING COMPANY,919 31ST ST,TUSCALOOSA,AL,35401,7186,TUSCALOOSA
AL-P-1705,GEORGIA CROWN DISTRIBUTING CO.,Â ,1330 CORPORATE WOODS DR,ALABASTER,AL,35007,4856,SHELBY
AL-P-1707,GEORGIA CROWN DISTRIBUTING CO.,ALABAMA CROWN DISTRIBUTING CO.,402 TWAIN CURV,MONTGOMERY,AL,36117,2210,MONTGOMERY
AL-P-1708,GEORGIA CROWN DISTRIBUTING CO.,ALABAMA CROWN DISTRIBUTING CO.,"CYPRESS INDUSTRIAL PARK, SHIPYARD ROAD & CROWN DR. ",MOBILE,AL,36619,0,MOBILE
AL-P-1713,"B & A DISTRIBUTING COMPANY, INC.",Â ,1210 NEWELL PKWY,MONTGOMERY,AL,36110,3211,MONTGOMERY
AL-P-1717,BUDWEISER-BUSCH DISTRIBUTING CO.,"BUDWEISER-BUSCH DISTRIBUTING CO., INC.",1050 E I 65 SERVICE RD N,MOBILE,AL,36617,1548,MOBILE
AL-P-1719,"BUDWEISER-BUSCH DISTRIBUTING CO., INC.",Â ,BLACK-DEVINE ROAD,LOXLEY,AL,36551,0,BALDWRN
AL-P-1720,"GREENE BEVERAGE COMPANY, INC.",Â ,3100 RICE MINE RD NW,TUSCALOOSA,AL,35406,1508,TUSCALOOSA
AL-P-1722,"VALLEY BUDWEISER, INC.",Â ,3424 VALLEY AVE SW,DECATUR,AL,35603,1673,MORGAN
AL-P-1727,"BAMA BUDWEISER OF SYLACAUGA, INC.",Â ,2400 HWY 280,HARPERSVILLE,AL,35078,0,SHELBY
AL-P-1729,"NORTH ALABAMA BEVERAGE CO., INC.","NORTH ALABAMA BEVERAGE CO., INC",106 W AVALON AVE,MUSCLE SHOALS,AL,35661,2800,COLBERT
AL-P-1730,"SHOALS DISTRIBUTING, INC.",Â ,100 COMMERCE ST,MUSCLE SHOALS,AL,35661,3552,COLBERT
AL-P-1732,"BIRMINGHAM BUDWEISER DISTRIBUTING, CO., INC.",Â ,141 INDUSTRIAL DR,BIRMINGHAM,AL,35211,4445,JEFFERSON
AL-P-1734,"BIRMINGHAM BUDWEISER DISTRIBUTING, CO., INC.",GADSDEN BUDWEISER,ATTALLA INDUSTRIAL PARK,ATTALLA,AL,35954,0,ETOWAH
AL-P-1742,"ALABAMA DISTRIBUTING CO., INC.",Â ,RR 1 BOX 240MDEMOPOLIS,DEMOPOLIS,AL,36732,9801,MARENGO
AL-P-1743,"HYMAX, INC.",KAMIL SHIP SUPPLY,500 SAINT LOUIS ST,MOBILE,AL,36602,2218,MOBILE
AL-P-1744,"BAMA BUDWEISER OF MONTGOMERY, INC.",Â ,1700 EMORY FOLMAR BLVD,MONTGOMERY,AL,36110,3262,MONTGOMERY
AL-P-1745,"BAMA BUDWEISER OF SELMA, INC.",Â ,497 OAK ST,SELMA,AL,36701,6762,DALLAS
AL-P-1748,"GULF MARINE & INDUSTRIAL SUPPLIES, INC.",GALANOS GULF MARINE SUPPLIES COMPANY,559 S CONCEPTION ST,MOBILE,AL,36603,2244,MOBILE
AL-P-1750,"WARREN B. CROW INVESTMENT COMPANY, INC.",SHAW BEVERAGES,300 2ND AVE S,BIRMINGHAM,AL,35233,3002,JEFFERSON
AL-P-1751,"SELMA, J & M CORPORATION",Â ,BLDG G 101 AVE C CRAIG INDUSTRIAL PARK,SELMA,AL,36701,0,DALLAS
AL-P-1753,LAGRANGE GROCERY COMPANY,ROYAL BEVERAGE COMPANY,HIGHWAY 50,LANETT,AL,36863,0,CHAMBERS
AL-P-1757,NICK GALANOS,AMERICAN BONDED STORES,557 S CONCEPTION ST,MOBILE,AL,36603,2244,MOBILE
AL-P-1758,EVANGELOS KOSTANTINOS SIOTIS (ANGELO),Â ,553 S CONCEPTION ST,MOBILE,AL,36603,2244,MOBILE
AL-P-1768,"VINEYARD BRANDS, LLC",Â ,2000 RESOURCE DR,BIRMINGHAM,AL,35242,2995,SHELBY
AL-P-1772,"SUPREME BEVERAGE COMPANY, INC.",Â ,2100A JACKSON AVE NW,HUNTSVILLE,AL,35805,2950,MADISON
AL-P-1773,"PREMIUM BEVERAGE CO., INC.",Â ,1511 1ST AVE,OPELIKA,AL,36801,5609,LEE
AL-P-1777,"KEY WORLD ENTERPRISES, L.L.C.",KEY SELECTIONS,1324 FLETCHER ST NW,HUNTSVILLE,AL,35801,4666,MADISON
AL-P-1778,"UNITED DISTRIBUTING CO., LLC",Â ,1158 JORDON AVE,DOTHAN,AL,36303,6325,HOUSTON
AL-P-1779,"CRUX IMPORTS, INC..",Â ,901 E SOUTH BLVD,MONTGOMERY,AL,36116,2309,MONTGOMERY
AL-P-1780,"ADAMS BEVERAGES, INC.",Â ,508 WALKER ST,OPELIKA,AL,36801,8600,LEE
AL-P-1781,"CHARLES K. BRAMMER, JR.",TOWN AND COUNTRY DISTRIBUTORS,175 W OXMOOR RD,BIRMINGHAM,AL,35209,6331,JEFFERSON
AL-P-1783,"LATINO WINES, LLC",WORLD WINE IMPORTS,706 DALLAS ST,HUNTSVILLE,AL,35801,4015,MADISON
AL-P-1784,"ELE, INC.",Â ,1438 PAUL W. BRYANT DR,TUSCALOOSA,AL,35401,2435,TUSCALOOSA
AL-P-1786,"PREMIUM BEVERAGE CO., INC.",Â ,1404 14TH AVE,PHENIX CITY,AL,36867,4802,RUSSELL
AL-P-1787,"PREMIUM BEVERAGE CO., INC.",Â ,928 N RAILROAD AVE,OPELIKA,AL,36801,4368,LEE
AL-P-1788,"HUGHES BEVERAGE CO., INC.",Â ,310 W 16TH ST,ANNISTON,AL,36201,3738,CALHOUN
AL-P-1789,"HUGHES BEVERAGE CO., INC.",Â ,311 2ND AVE SW,ATTALLA,AL,35954,2627,ETOWAH
AL-P-1792,"GRASSROOTS WINE WHOLESALERS, LLC",Â ,3413 5TH AVE S,BIRMINGHAM,AL,35222,2312,JEFFERSON
AL-P-1793,"SUPERIOR BEVERAGE, LLC",Â ,128 DISTRIBUTION DR,HOMEWOOD,AL,35209,6309,JEFFERSON
AL-P-1794,"WALKER VENDING SERVICES, L.L.C.",Â ,109 43RD ST S,BIRMINGHAM,AL,35222,2138,JEFFERSON
AL-P-1796,"VIRGINIA WINE IMPORTS, LLC",Â ,1504 BROWN ST,MOBILE,AL,36604,1705,MOBILE
AL-P-1798,"ATLAS SHIP SERVICES, INC.",ATLAS MARITIME SERVICE,557 S CONCEPTION ST,MOBILE,AL,36603,2244,MOBILE
AL-P-1799,"MBC-UNITED WHOLESALE, LLC",MOBILE BEER & WINE COMPANY,966 E INTERSTATE 65 SERVICE RD N,MOBILE,AL,36607,0,MOBILE
AL-P-1800,"MBC-UNITED WHOLESALE, LLC",MONTGOMERY BEVERAGE COMPANY,3181 SELMA HWY,MONTGOMERY,AL,36108,5003,MONTGOMERY
AL-P-20016,VODQUILA LLC,Â ,12820 COUNTY ROAD 42,JEMISON,AL,35085,4752,Chilton
AL-P-21001,WILLIAM M. GREY,WHISKEY WILLY'S,29301 N BAYSHORE DR,ORANGE BEACH,AL,36561,4221,Baldwin
AL-P-21002,"BEER ENGINEERS, LLC",Â ,2147 RIVERCHASE OFFICE RD,BIRMINGHAM,AL,35244,1836,Jefferson
AL-P-21003,"LOYALTY SPIRITS, LLC",Â ,2811  SYDNEY DR,BIRMINGHAM,AL,35211,6904,USA
AL-P-21004,"THOMPSON PINNACLE HOLDINGS, INC.",PINNACLE IMPORTS,3075  MORGAN RD,BESSEMER,AL,35022,6419,Jefferson
AL-P-21005,SERENITY BEVERAGES L.L.C.,Â ,121  CASTLE DR NW,HUNTSVILLE,AL,35758,3501,Madison
AL-P-21006,"JESABEAN DISTRIBUTORS, LLC",JESABEAN DISTRIBUTORS,3600  OLD US HWY 278 EAST,HOKES BLUFF,AL,35903,7505,Etowah
AL-P-21007,GP IMPORT/EXPORT LLC,Â ,2204  LAKESHORE DR,BIRMINGHAM,AL,35209,6729,Jefferson
AL-P-21008,"ALABAMA SMALL WINE WHOLESALER, INC.",ALABAMA SMALL WINE WHOLESALER,1703  LAY DAM RD,CLANTON,AL,35045,2032,Chilton
AL-P-21009,TRIM TAB BREWING CO. LLC,Â ,2721  5TH AVE S,BIRMINGHAM,AL,35233,0,Jefferson
AL-P-21010,"ROCKET REPLUBLIC BREWING COMPANY, INC.",Â ,500  W LANIER RD,MADISON,AL,35758,2125,Madison
AL-P-21011,"SUNDOWN COMPANIES, L.L.C.",SUNDOWN WINES,1535  MARKET DR NE,ARAB,AL,35016,4494,usa
AL-P-21012,"RIDGE RESERVE SPIRITS., L.L.C.",Â ,33080  RIVER ROAD,ORANGE BEACH,AL,36561,0,Baldwin
AL-P-21013,"CHARLES W. CARROLL, JR",Â ,104  W LOUISVILLE AVE,ATMORE,AL,36502,1710,Escambia
AL-P-21014,"PAVONE IMPORTING, INC.",PAVONE IMPORTING,25495  RAVENWOOD CIR,DAPHNE,AL,36526,0,Â 
AL-P-21015,"R. H. DISTRIBUTION, LLC",Â ,2217  PUMPHREY AVE,AUBURN,AL,36832,4356,LEE
AL-P-21016,PITEC CORPORATION,Â ,3461  OLD GREENVILLE RD,EVERGREEN,AL,36401,6847,Conecuh
AR-P-15001,"RDE, INC.",MIRAMAR WINE & SPIRITS,3908 MIRAMAR DR,PINE BLUFF,AR,71603,3718,JEFFERSON
AR-P-15002,PAUL J. POST,SAX WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,9001,FRANKLIN
AR-P-15004,"MICKEY'S QUICKER LIQUOR, LLC",Â ,1108 W SPEEDWAY,TRUMANN,AR,72472,2247,POINSETT
AR-P-15005,CLJ ENTERPRISES INC.,O'LOONEY'S WINE AND LIQUOR,3 RAHLING CIR,LITTLE ROCK,AR,72223,9194,PULASKI
AR-P-15006,SAMUEL EDWARD BUZZARD,RAZORBACK WINE & SPIRITS,1266 HIGHWAY 49,WEST HELENA,AR,72390,9477,PHILLIPS
AR-P-15008,"RECTOR HEIGHTS LIQUOR, INC.",THE WINE RACK AND SPIRITS SHOPPE,1910A ALBERT  PIKE,HOT SPRINGS,AR,71913,4012,GARLAND
AR-P-15009,WALTON'S LIQUORS,Â ,133 HIGHWAY 463 S,TRUMANN,AR,72472,2604,POINSETT
AR-P-15011,"TRI-DIMENSIONAL,  L.L.C.",WARREN'S LIQUOR,1033 E HILLSBORO,EL DORADO,AR,71730,7575,UNION
AR-P-15012,"CROSSOVER LIQUOR OF FAYETTEVILLE, INC.",Â ,1890 N CROSSOVER RD,FAYETTEVILLE,AR,72701,2725,WASHINGTON
AR-P-15013,"SUNNYSIDE WINE & SPIRITS, LLC",Â ,625 HWY 65 & 82 S,LAKE VILLAGE,AR,71653,7503,CHICOT
AR-P-15014,CHARLES W. HARGRAVE,THE WELL,5709 ROGERS AVE,FORT SMITH,AR,72903,3896,SEBASTIAN
AR-P-15015,"CORPORATE CAPITAL CONSULTING, INC","FIANNA VILLAGE LIQUORS, INC.",8901 JENNY LIND RD,FORT SMITH,AR,72908,8641,SEBASTIAN
AR-P-15016,"J & B PARTY CENTER, INC.",Â ,1600 CENTRAL AVE,HOT SPRINGS,AR,71901,6116,GARLAND
AR-P-15017,JEFFERY N. AND JUDY S. OSWALT,COLONIAL LIQUOR STORE,10541 HIGHWAY 62 E,HENDERSON,AR,72544,9040,BAXTER
AR-P-15018,BING ENTERPRISES LLC,PAT'S BEVERAGE SHOP,7424 N HILLS BLVD,N LITTLE ROCK,AR,72116,4525,PULASKI
AR-P-15019,STEPHEN DAVID FLETCHER,BUD'S LIQUOR,4761 MALVERN RD,HOT SPRINGS,AR,71901,8515,GARLAND
AR-P-15020,"CLOVERDALE LIQUOR, INC.",Â ,9107 CHICOT RD,LITTLE ROCK,AR,72209,6104,PULASKI
AR-P-15021,"LOVE AMERICA, LLC",WAREHOUSE LIQUOR MARKET,1007 MAIN ST,LITTLE ROCK,AR,72202,3819,PULASKI
AR-P-15023,TOBY W. WALDEN,WILLIE'S OASIS,13810 STRONG HWY,STRONG,AR,71765,9266,UNION
AR-P-15024,"M & K LIQUOR, INC.",Â ,109 W MAIN ST,OZARK,AR,72949,3229,FRANKLIN
AR-P-15025,BAXTER BEVERAGE,ROCK HOUSE LIQUORS,4072  HIGHWAY 101,GAMALIEL,AR,72537,9511,BAXTER
AR-P-15027,"DATTHE ALPINE LIQUOR CENTER, INC.",ALPINE LIQUOR,2036 E VAN BUREN,EUREKA SPRINGS,AR,72632,8807,CARROLL
AR-P-15028,ROYAL ENTERPRIZES LTD. OF ROYAL AR.,LAKE OUACHITA BEER DEPOT & LAST CHANCE LIQUOR,8805 ALBERT PIKE RD,ROYAL,AR,71968,8219,GARLAND
AR-P-15029,SHANNON EZELL,LAKE STREET LIQUOR,113  E LAKE  ST,PARAGOULD,AR,72450,3053,GREENE
AR-P-15030,"COLONIAL BOTTLE SHOP, INC.",COLONIAL WINES AND SPIRITS,11200 W MARKHAM ST,LITTLE ROCK,AR,72211,2802,PULASKI
AR-P-15031,ELGIN LIQUOR INC.,BROCK'S LIQUOR,24827 HIGHWAY 37 N,NEWPORT,AR,72112,9742,JACKSON
AR-P-15032,MATHEW MCSWAIN,CIRCLE W LIQUOR,507 S WHITEHEAD DR,DEWITT,AR,72042,3681,ARKANSAS
AR-P-15033,"BBW ENTERPRISES, INC.",BENNY'S ONE STOP,511 S ADAMS ST,CAMDEN,AR,71701,4349,OUACHITA
AR-P-15035,J & M ENTERTAINMENT LLC,HOLIDAY STORE,1006 HIGHWAY 135 N,PARAGOULD,AR,72450,2863,GREENE
AR-P-15036,LIEN LE,G & B LIQUOR STORE,206 S PARK AVE,STUTTGART,AR,72160,4500,ARKANSAS
AR-P-15038,"VINCENT'S, LLC",VINCENT'S FINE WINE & LIQUORS,1109 EAST ST,TEXARKANA,AR,71854,7408,MILLER
AR-P-15039,"LAKE STREET, LLC",LAKE STREET LIQUOR,113  E LAKE  ST,PARAGOULD,AR,72450,3053,GREENE
AR-P-15041,"BUSY BEE BEVERAGE, INC",BUSY BEE,7418 T.P. WHITE DR,JACKSONVILLE,AR,72076,0,PULASKI
AR-P-15042,"MIKE SILLIMAN, INC.",AIRPORT LIQUOR,186 HIGHWAY 278 E,CAMDEN,AR,71701,8601,OUACHITA
AR-P-15043,"D.A.D.'S, INC.",Â ,308 E COMMERCE ST,MORRILTON,AR,72110,2925,CONWAY
